Model,RMSE,R2_Score,MSE
Linear Regression,5991.146646797623,0.8046658529849046,35893838.143434405
Ridge Regression,5999.8481715747175,0.8040980353888088,35998178.08194848
Lasso Regression,5988.182111002343,0.8048591154223635,35858324.99452847
Decision Tree,6783.04488035282,0.7496153783326376,46009697.8488806
SVR,14430.001249533221,-0.1331594049741287,208224936.06153032
